merchant,category,amt,gender,city,province,latitude,longitude,city_pop,job,unix_time,merch_latitude,merch_longitude,processed_at,is_fraud
Nike,Clothing,80.16,M,Mhangura,Mashonaland West,-18.527462,32.139527,750505,Artist,1729530689,-19.235656,25.90511,2024-10-21 19:11:29,False
Zuva,Fuel,3487.23,F,Marondera,Mashonaland East,-20.494029,33.609172,419864,Pilot,1718212509,-18.904631,29.463496,2024-06-12 19:15:09,True
Zuva,Fuel,207.77,M,Harare,Harare,-16.409116,28.012942,405710,Architect,1706775576,-15.762321,26.98736,2024-02-01 10:19:36,False
7 Rings,Other,180.81,M,Bulawayo,Bulawayo,-17.342597,28.118673,125518,Driver,1718024993,-18.329569,26.483275,2024-06-10 15:09:53,False
Amazon,Electronics,502.74,M,Shurugwi,Midlands,-19.43453,32.82046,215408,Politician,1718013862,-18.223317,25.303233,2024-06-10 12:04:22,False
Kombi,Other,17.45,M,Hwange,Matabeleland North,-16.243667,34.247309,740469,Radiographer,1725121962,-15.992714,34.294087,2024-08-31 18:32:42,False
Savemore,Food,59.18,F,Lupane,Matabeleland North,-20.492651,33.938205,198466,Marketing Specialist,1711887039,-18.715716,33.228092,2024-03-31 14:10:39,False
Adidas,Clothing,4880.26,F,Mutare,Manicaland,-18.963023,27.11688,723331,Architect,1703650795,-20.0806,32.335187,2023-12-27 06:19:55,True
eBay,Other,1203.05,F,Masvingo,Masvingo,-20.796204,33.408375,156869,Pilot,1724722938,-20.431959,34.524143,2024-08-27 03:42:18,True
Nike,Clothing,938.17,F,Chivhu,Mashonaland East,-19.617434,34.162186,218234,Architect,1721841437,-16.458908,29.192515,2024-07-24 19:17:17,FalseL
Thuli,Fuel,2910.21,M,Gweru,Midlands,-16.209441,25.617957,943642,Architect,1719345508,-19.381833,25.594222,2024-06-25 21:58:28,True
Nike,Clothing,2485.55,M,Lupane,Matabeleland North,-16.500333,25.997063,493632,Graphic Designer,1722001743,-15.87128,28.193656,2024-07-26 15:49:03,True
Under Armour,Clothing,4130.97,M,Lupane,Matabeleland North,-17.139038,26.636645,383311,Physiotherapist,1717701450,-15.291049,27.741885,2024-06-06 21:17:30,True
Zuva,Fuel,374.95,F,Beit Bridge,Matabeleland South,-19.373853,25.191656,966244,Data Scientist,1718413281,-20.644187,33.686062,2024-06-15 03:01:21,False
Thuli,Fuel,173.59,M,Zvishavane,Midlands,-17.509006,33.27647,729221,Artist,1727041052,-20.868559,29.867609,2024-09-22 23:37:32,False
Foodbox,Food,4194.69,M,Masvingo,Masvingo,-19.116262,31.071818,334686,Auditor,1725725218,-15.631479,28.334652,2024-09-07 18:06:58,True
Foodbox,Food,90.27,F,Kariba,Mashonaland West,-17.773453,30.735079,18645,IT Support,1707566976,-17.59279,34.54915,2024-02-10 14:09:36,False
Thuli,Fuel,789.87,F,Mutare,Manicaland,-19.153519,30.22209,36889,Farmer,1728808748,-17.124722,25.563837,2024-10-13 10:39:08,False
Foodbox,Food,4577.36,F,Gweru,Midlands,-19.145928,26.759238,955968,Musician,1728482030,-15.408598,26.092664,2024-10-09 15:53:50,True
7 Rings,Other,523.76,M,Vic Falls,Matabeleland North,-18.717013,28.565357,352549,Soldier,1711916650,-19.495922,32.94796,2024-03-31 22:24:10,True
Push Athletics,Clothing,4452.7,F,Masvingo,Masvingo,-16.975755,26.947516,584792,Radiographer,1724014905,-16.589447,32.924416,2024-08-18 23:01:45,True
Pick n Pay,Food,565.81,F,Kariba,Mashonaland West,-16.221,30.837497,659992,Human Resource Manager,1721318783,-15.885528,31.116288,2024-07-18 18:06:23,True
Engen,Fuel,346.59,F,Lupane,Matabeleland North,-18.513171,26.731355,933167,Other,1709665402,-17.6937,29.2556,2024-03-05 21:03:22,False
Pick n Pay,Food,91.77,M,Zvishavane,Midlands,-17.214574,31.520805,237205,Doctor,1709518549,-16.864082,33.047361,2024-03-04 04:15:49,False
Adidas,Clothing,698.09,F,Chivhu,Mashonaland East,-20.022477,30.927786,820684,Interior Designer,1724824154,-19.683569,29.832022,2024-08-28 07:49:14,False
Engen,Fuel,802.1,F,Gweru,Midlands,-19.220827,29.961675,21951,Data Scientist,1715671907,-18.742121,29.047556,2024-05-14 09:31:47,False
N Richards,Other,966.93,F,Kariba,Mashonaland West,-16.629922,25.437711,930177,Mechanic,1706768374,-19.659499,25.870538,2024-02-01 08:19:34,False
Choppies,Food,2236.19,M,Gweru,Midlands,-17.12267,27.60451,369230,Research Scientist,1726161874,-20.941363,27.667239,2024-09-12 19:24:34,True
Trade Center,Other,942.43,F,Mhangura,Mashonaland West,-17.353473,29.094088,798337,Customs Officer,1719215417,-16.263354,26.073286,2024-06-24 09:50:17,False
Indrive,Other,4569.43,F,Kwekwe,Midlands,-17.257257,30.935518,50477,Accountant,1725723709,-19.268582,30.020967,2024-09-07 17:41:49,True
Uber,Other,2848.38,M,Harare,Harare,-16.546682,34.115122,695790,Civil Servant,1714658772,-18.322886,33.274429,2024-05-02 16:06:12,True
Total,Fuel,517.56,F,Zvishavane,Midlands,-18.448734,25.116496,512596,IT Support,1727388573,-15.655256,32.2579,2024-09-27 00:09:33,False
N Richards,Other,591.46,F,Shurugwi,Midlands,-17.636916,25.608658,992153,Doctor,1715532708,-15.289177,27.464042,2024-05-12 18:51:48,False
Greenwood Pharmacy,Medical,253.96,M,Mhangura,Mashonaland West,-20.539013,34.253644,217713,Human Resource Manager,1702745063,-19.25228,31.212773,2023-12-16 18:44:23,False
Amazon,Electronics,2001.67,F,Kariba,Mashonaland West,-20.291017,26.215529,361327,Environmental Consultant,1723863941,-19.409854,25.892095,2024-08-17 05:05:41,True
Greenwood Pharmacy,Medical,316.66,M,Zvishavane,Midlands,-18.785481,27.036231,147418,Graphic Designer,1725200049,-17.051773,26.850599,2024-09-01 16:14:09,False
Total,Fuel,1470.37,M,Chinhoyi,Mashonaland West,-19.350969,26.58614,947089,IT Support,1720678336,-15.523742,26.040479,2024-07-11 08:12:16,True
Adidas,Clothing,412.92,M,Karoi,Mashonaland West,-18.303163,25.262548,851136,Real Estate Agent,1717168843,-17.488921,29.24353,2024-05-31 17:20:43,False
Engen,Fuel,4476.43,M,Karoi,Mashonaland West,-16.499737,33.492628,613925,Accountant,1705227366,-15.208747,25.415323,2024-01-14 12:16:06,True
Pfeka,Clothing,485.92,M,Gweru,Midlands,-18.421385,27.770758,181239,Chef,1728678025,-16.496309,27.542864,2024-10-11 22:20:25,False
7 Rings,Other,3015.45,F,Shurugwi,Midlands,-20.531321,25.938975,331726,Veterinarian,1718757755,-18.157733,27.283598,2024-06-19 02:42:35,True
Total,Fuel,588.07,M,Shurugwi,Midlands,-19.459649,32.955725,730441,Event Planner,1702983999,-18.770275,31.805054,2023-12-19 13:06:39,False
Pick n Pay,Food,210.75,F,Bulawayo,Bulawayo,-16.545121,29.506759,486820,Marketing Specialist,1730130610,-19.095815,32.321088,2024-10-28 17:50:10,False
7 Rings,Other,4071.14,F,Vic Falls,Matabeleland North,-20.973837,32.234402,259610,Lawyer,1731175264,-19.43005,28.030048,2024-11-09 20:01:04,True
Chicken Slice,Food,720.07,F,Vic Falls,Matabeleland North,-16.743594,32.868201,998451,Interior Designer,1704355390,-19.400489,34.086124,2024-01-04 10:03:10,False
Museyamwa,Other,3274.81,F,Bulawayo,Bulawayo,-17.690445,28.201813,497859,Plumber,1715913712,-16.242853,30.366262,2024-05-17 04:41:52,True
7 Rings,Other,582.33,M,Mhangura,Mashonaland West,-20.640559,33.337779,173800,Driver,1728110367,-18.246438,32.926706,2024-10-05 08:39:27,True
Engen,Fuel,450.08,F,Karoi,Mashonaland West,-18.56473,30.091799,356944,Microbiologist,1718631520,-15.231991,32.495201,2024-06-17 15:38:40,False
Zuva,Fuel,2164.45,M,Beit Bridge,Matabeleland South,-19.793962,34.606145,918515,Farmer,1731560562,-20.740132,32.685791,2024-11-14 07:02:42,True
7 Rings,Other,3859.29,M,Kwekwe,Midlands,-17.451433,34.04735,924238,Event Planner,1703161722,-18.045477,27.462802,2023-12-21 14:28:42,True
Amazon,Electronics,4113.4,M,Lupane,Matabeleland North,-17.486277,34.332816,126502,Politician,1730210894,-17.177295,31.021952,2024-10-29 16:08:14,True
Thuli,Fuel,2453.19,M,Kwekwe,Midlands,-20.502432,31.048062,752807,Plumber,1717386322,-19.568358,28.466655,2024-06-03 05:45:22,True
Adidas,Clothing,204.34,F,Beit Bridge,Matabeleland South,-16.169787,32.004288,965482,Tour Guide,1710337508,-16.750197,28.078216,2024-03-13 15:45:08,False
Kombi,Other,293.0,M,Mutare,Manicaland,-16.204923,25.854787,33271,Lawyer,1715304730,-17.298324,31.054734,2024-05-10 03:32:10,False
Engen,Fuel,1495.87,F,Karoi,Mashonaland West,-20.707154,32.133439,473989,Hwindi,1716538096,-19.535151,26.356635,2024-05-24 10:08:16,True
KFC,Food,2670.67,M,Shurugwi,Midlands,-15.313423,34.859952,932108,IT Support,1720625710,-16.154517,34.740375,2024-07-10 17:35:10,True
Indrive,Other,1515.87,F,Mhangura,Mashonaland West,-18.378826,28.101641,88689,Insurance Broker,1712212532,-15.686317,25.926853,2024-04-04 08:35:32,True
Zuva,Fuel,979.3,M,Vic Falls,Matabeleland North,-20.07639,27.784812,86402,Interior Designer,1706737980,-18.998196,29.723658,2024-01-31 23:53:00,True
Museyamwa,Other,1664.89,F,Mutare,Manicaland,-18.48656,34.735675,212858,Statistician,1714303939,-17.045362,26.972725,2024-04-28 13:32:19,True
MedOrange,Medical,660.61,F,Bulawayo,Bulawayo,-17.214841,26.666543,795878,Interior Designer,1726359974,-16.103521,31.363756,2024-09-15 02:26:14,True
Chicken Slice,Food,270.04,M,Lupane,Matabeleland North,-15.424704,32.704986,823263,Artist,1703962686,-15.242882,25.664228,2023-12-30 20:58:06,False
Pick n Pay,Food,31.28,M,Masvingo,Masvingo,-18.216217,31.190741,466851,Athlete,1724156594,-17.561547,30.715934,2024-08-20 14:23:14,False
Museyamwa,Other,989.1,M,Hwange,Matabeleland North,-20.578759,28.577428,667035,Teacher,1733329496,-16.528912,27.066781,2024-12-04 18:24:56,True
MedOrange,Medical,2525.06,M,Vic Falls,Matabeleland North,-18.674085,25.063353,617877,Environmental Consultant,1733135490,-19.878737,34.995295,2024-12-02 12:31:30,True
N Richards,Other,2834.87,F,Karoi,Mashonaland West,-18.918048,25.640506,663207,Physiotherapist,1718570937,-15.667424,32.592295,2024-06-16 22:48:57,True
MedOrange,Medical,823.41,M,Kwekwe,Midlands,-20.172989,26.107741,375255,Microbiologist,1710947332,-16.138087,32.387633,2024-03-20 17:08:52,False
Greenwood Pharmacy,Medical,3028.24,F,Hwange,Matabeleland North,-15.472906,26.807578,718428,Musician,1731382690,-19.868008,26.235225,2024-11-12 05:38:10,True
KFC,Food,255.58,M,Hwange,Matabeleland North,-20.013398,30.643082,338573,Engineer,1717259344,-15.915555,29.690297,2024-06-01 18:29:04,False
Greenwood Pharmacy,Medical,698.01,M,Harare,Harare,-17.187668,32.474993,575126,Architect,1707526458,-16.069959,25.536044,2024-02-10 02:54:18,False
N Richards,Other,966.23,F,Kwekwe,Midlands,-18.551356,30.728988,265590,Teacher,1720055047,-17.488447,26.754117,2024-07-04 03:04:07,False
MedOrange,Medical,827.17,M,Zvishavane,Midlands,-19.223852,29.950937,792281,Architect,1710853104,-18.895269,34.693383,2024-03-19 14:58:24,False
Thuli,Fuel,83.44,F,Gweru,Midlands,-17.517436,26.401639,552987,Hwindi,1731744062,-17.355906,33.419923,2024-11-16 10:01:02,False
Kombi,Other,528.5,M,Zvishavane,Midlands,-18.291692,30.25254,822583,Athlete,1707353280,-19.826835,34.070731,2024-02-08 02:48:00,False
Indrive,Other,521.13,F,Bulawayo,Bulawayo,-20.248444,26.095214,928470,Artist,1724842673,-19.719942,26.33908,2024-08-28 12:57:53,False
Greenwood Pharmacy,Medical,969.5,M,Harare,Harare,-17.235784,28.230096,912805,Engineer,1706004163,-19.560865,32.825374,2024-01-23 12:02:43,False
Adidas,Clothing,936.98,M,Lupane,Matabeleland North,-20.253303,32.766074,162391,Electrician,1703190136,-17.879739,25.517146,2023-12-21 22:22:16,False
Engen,Fuel,945.42,M,Gweru,Midlands,-15.16325,25.347328,92571,Pilot,1706651857,-18.177449,31.346918,2024-01-30 23:57:37,False
Museyamwa,Other,1677.04,M,Zvishavane,Midlands,-15.34912,27.977118,77763,Plumber,1725040610,-20.763492,28.050684,2024-08-30 19:56:50,True
Adidas,Clothing,888.7,M,Gweru,Midlands,-20.566862,28.826999,314402,Mining Geologist,1721646743,-19.395323,30.26841,2024-07-22 13:12:23,False
Adidas,Clothing,963.63,F,Masvingo,Masvingo,-16.063358,27.23928,782219,Accountant,1726515056,-16.543309,29.181277,2024-09-16 21:30:56,False
Museyamwa,Other,746.18,M,Harare,Harare,-19.531277,28.925957,364278,Nurse,1721079043,-17.131725,32.271401,2024-07-15 23:30:43,False
